id;car_model;car_make
1331;CLA-Class;24
1332;Rogue Select;26
1333;Versa Note;26
1334;ProMaster 1500;63
1335;ProMaster 2500;63
1336;ProMaster 3500;63
1337;Wraith;33
1338;TLX;42
1339;Q3;3
1340;S3;3
1341;650i / ALPINA B6;4
1342;M4;4
1343;X4;4
1344;City Express;7
1345;Transit;14
1346;Q40;49
1347;Q70L;49
1348;Renegade;19
1349;Atlantic;65
1350;Karma;65
1351;K900;53
1352;Huracan;48
1353;Discovery Sport;45
1354;NX;50
1355;RC;50
1356;MKC;20
1357;GLA-Class;24
1358;918;32
1359;Macan;32
1360;Promaster City;63
1361;WRX;35
1362;V60;39
1363;V60CC;39
1364;Giulia (952);1
1365;330e;4
1366;340i;4
1367;M2;4
1368;Cascada;5
1369;Envision;5
1370;CT6;6
1371;Cruze Limited;7
1372;Malibu Limited;7
1373;488 GTB;12
1374;488 GTS;12
1375;F12 Special Series;12
1376;F60 America;12
1377;500X;13
1378;HR-V;16
1379;Revero;65
1380;Forte Koup;53
1381;CX-3;23
1382;AMG GT;24
1383;GLC-Class;24
1384;GLE-Class;24
1385;GLS-Class;24
1386;Metris;24
1387;Dawn;33
1388;Crosstrek;35
1389;Model X;60
1390;Mirai;37
1391;Scion iA;37
1392;Scion iM;37
1393;S60 Cross Country;39
1394;DB11;2
1395;RS 3;3
1396;Bentayga;41
1397;230i;4
1398;430i;4
1399;440i;4
1400;650i / B6;4
1401;740e;4
1402;750i / B7;4
1403;M240i;4
1404;M760i;4
1405;Escalade ESV;6
1406;XT5;6
1407;Bolt EV;7
1408;488 Pista;12
1409;488 Spider;12
1410;812 Superfast;12
1411;F12 tdf (Tour de France);12
1412;GTC4Lusso;12
1413;124 Spider;13
1414;Expedition EL;14
1415;Civic Type R;16
1416;Clarity;16
1417;Elantra GT;47
1418;Ioniq;47
1419;Santa Fe Sport;47
1420;QX30;49
1421;F-PACE;18
1422;XE;18
1423;Niro;53
1424;Soul EV;53
1425;Navigator L;20
1426;Levante;22
1427;600LT;61
1428;720S;61
1429;GT;61
1430;SENNA;61
1431;SENNA GTR;61
1432;SLC-Class;24
1433;Mirage G4;40
1434;Rogue Sport;26
1435;520;28
1436;718 Boxster;32
1437;718 Cayman;32
1438;Model 3;60
1439;86;37
1440;COROLLA iM;37
1441;Prius Prime;37
1442;Yaris iA;37
1443;V90CC;39
1444;Stelvio;1
1445;Vanquish Zagato;2
1446;530e;4
1447;540d;4
1448;640xi;4
1449;M550i;4
1450;X2;4
1451;Chiron;54
1452;Regal TourX;5
1453;Ecosport;14
1454;Kona;47
1455;E-PACE;18
1456;Wrangler JK;19
1457;Stinger;53
1458;Range Rover Velar;45
1459;LC;50
1460;Eclipse Cross;40
1461;Kicks;26
1462;EQ Fortwo;56
1463;C-HR;37
1464;Q8;3
1465;e-tron;3
1466;B7;4
1467;X7;4
1468;XT4;6
1469;Silverado HD;7
1470;Silverado LD;7
1471;DS;66
1472;DT;66
1473;Portofino;12
1474;Ducato;13
1475;Sierra HD;15
1476;Sierra Limited;15
1477;Nexo;47
1478;Santa Fe XL;47
1479;Veloster N;47
1480;I-PACE;18
1481;URUS;48
1482;UX;50
1483;Nautilus;20
1484;A-Class;24
1485;Cullinan;33
1486;Ascent;35
1487;VS;39
1488;VT;39
1489;XC40;39
1490;A6 allroad;3
1491;A8 e;3
1492;Q5 e;3
1493;RS Q8;3
